,City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
166,babanusah,80,1581539542.0,82.0,-36.82,174.45,73.0,2.24
167,babanusah,0,1581539543.0,62.0,14.9,-24.5,71.6,13.51
168,babanusah,93,1581539312.0,88.0,-9.11,124.89,74.77,1.34
169,babanusah,90,1581539543.0,72.0,55.96,92.55,14.0,6.71
170,babanusah,10,1581539543.0,82.0,65.98,60.31,20.44,14.85
171,babanusah,90,1581539546.0,71.0,-42.88,147.33,57.2,1.12
172,babanusah,75,1581539250.0,100.0,65.46,12.2,33.8,8.05
173,babanusah,100,1581539547.0,98.0,50.16,40.38,31.05,5.23
174,babanusah,100,1581539547.0,94.0,58.04,65.27,15.66,6.44
175,babanusah,100,1581539547.0,92.0,57.47,41.96,20.98,9.17
176,babanusah,100,1581539548.0,97.0,48.61,42.85,32.94,17.2
177,babanusah,0,,,,,,
178,babanusah,75,1581539548.0,88.0,-32.25,148.62,69.8,9.17
179,babanusah,40,1581539301.0,52.0,7.77,-72.22,87.8,11.41
180,babanusah,3,1581539551.0,76.0,-8.9,-35.15,82.49,14.2
181,babanusah,31,1581539552.0,71.0,6.88,73.1,82.13,6.55
182,babanusah,0,1581539552.0,92.0,33.06,113.8,47.5,4.59
183,babanusah,36,1581539552.0,82.0,35.03,25.95,55.99,2.84
184,babanusah,90,1581539552.0,100.0,-19.06,-169.92,69.8,6.93
185,babanusah,5,1581539552.0,76.0,68.71,-52.87,-8.86,7.94
186,babanusah,1,1581539553.0,53.0,48.6,-93.4,-5.01,17.22
187,babanusah,20,1581539402.0,66.0,11.24,-74.2,89.6,5.82
188,babanusah,90,1581539553.0,85.0,54.37,56.18,15.01,6.71
189,babanusah,2,1581539556.0,41.0,37.89,58.52,33.8,2.24
190,babanusah,0,1581539557.0,71.0,25.05,61.74,71.11,14.41
191,babanusah,0,1581539344.0,66.0,31.61,34.76,55.4,4.7
192,babanusah,0,1581539516.0,61.0,-33.7,-53.46,73.81,13.73
193,babanusah,0,1581539557.0,37.0,22.95,79.2,60.58,2.55
194,babanusah,100,1581539557.0,81.0,39.89,4.27,51.8,5.82
195,babanusah,0,,,,,,
196,babanusah,75,1581539399.0,87.0,49.24,-124.8,46.0,2.24
197,babanusah,100,1581539558.0,90.0,-9.08,143.21,75.2,8.23
198,babanusah,100,1581539561.0,14.0,11.93,-8.42,79.52,5.66
199,babanusah,20,1581539562.0,82.0,38.52,-28.7,60.8,8.05
200,babanusah,0,,,,,,
201,babanusah,0,1581539562.0,80.0,6.12,81.12,80.24,26.33
202,babanusah,0,,,,,,
203,babanusah,100,1581539562.0,77.0,-0.87,134.08,73.18,3.27
204,babanusah,7,1581539563.0,78.0,42.9,133.91,32.11,3.85
205,babanusah,0,,,,,,
206,babanusah,0,1581539563.0,78.0,-17.0,145.43,77.0,3.87
207,babanusah,20,1581539566.0,82.0,33.08,-16.33,62.6,3.36
208,babanusah,20,1581539566.0,87.0,37.73,-25.67,60.8,11.41
209,babanusah,100,1581539567.0,74.0,46.07,30.47,33.8,6.71
210,babanusah,20,1581539567.0,66.0,-0.74,-90.35,86.0,24.16
211,babanusah,90,1581539541.0,70.0,64.84,-147.72,-0.99,4.7
212,babanusah,90,1581539567.0,71.0,-42.78,147.06,57.2,1.12
213,babanusah,87,1581539568.0,30.0,31.63,-8.01,68.0,6.93
214,babanusah,0,1581539568.0,33.0,3.98,13.18,67.06,1.45
215,babanusah,0,,,,,,
216,babanusah,86,1581539571.0,92.0,51.5,95.6,-8.5,2.33
217,babanusah,94,1581539572.0,70.0,-25.18,27.27,69.12,5.99
218,babanusah,20,1581539572.0,65.0,-16.48,-43.49,80.6,3.36
219,babanusah,44,1581539572.0,62.0,65.42,-52.9,10.13,14.99
220,babanusah,73,1581539572.0,52.0,-34.48,-54.33,75.25,14.92
221,babanusah,100,1581539572.0,98.0,-2.08,101.38,63.52,1.21
222,babanusah,0,,,,,,
223,babanusah,100,1581539573.0,80.0,54.63,-8.45,39.2,17.22
224,babanusah,75,1581539573.0,75.0,65.28,-126.83,-18.4,10.29
225,babanusah,89,1581539576.0,93.0,-46.6,168.33,57.99,4.0
226,babanusah,92,1581539577.0,77.0,-8.77,160.7,83.77,16.24
227,babanusah,5,1581539577.0,63.0,58.52,-117.14,-9.4,6.93
228,babanusah,0,1581539577.0,83.0,49.65,-108.42,-2.88,2.66
